cohort,sample_id,lot,ensemble_score
2026,S08,A,0.3808
2026,S10,A,0.4468
2026,S10,B,0.4938
2026,S10,D,0.4901
2026,S10,E,0.509
2026,S06,A,0.2136
2026,S06,B,0.2803
2026,S06,D,0.3146
2026,S06,E,0.3214
2026,S07,A,0.6617
2026,S07,B,0.6799
2026,S07,D,0.7098
2026,S07,E,0.7323
2026,S09,A,0.3032
2026,S09,B,0.3934
2026,S09,D,0.3955
2026,S09,E,0.3976
2026,S11,A,0.4987
2026,S11,B,0.5628
2026,S11,E,0.5909
2026,S12,A,0.5862
2026,S12,B,0.6489
2026,S12,D,0.5945
2026,S12,E,0.6333
2026,S13,A,0.4407
2026,S13,B,0.4548
2026,S13,D,0.485
2026,S13,E,0.4991
2026,S14,A,0.2599
2026,S14,B,0.3199
2026,S14,D,0.3527
2026,S14,E,0.3726
2026,S15,A,0.3659
2026,S15,B,0.4149
2026,S15,D,0.4503
2026,S15,E,0.5537
